crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10261,6,0,0,1,0,0,0,0,0,0,0,0,0,4,24.266666666666666
Crew_10262,4,0,0,0,0,0,0,0,0,0,0,0,0,4,14.283333333333333
Crew_10263,6,0,0,0,0,0,0,0,0,0,1,0,0,4,19.066666666666666
Crew_10265,5,0,0,0,0,0,0,0,0,0,0,0,0,2,9.95
Crew_10266,4,0,0,0,0,0,0,0,0,0,0,0,0,4,16.48333333333333
Crew_10267,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7.533333333333333
Crew_10268,5,0,0,0,0,0,0,0,0,0,0,0,0,4,11.85
Crew_10269,4,0,0,0,0,0,0,0,0,0,0,0,0,4,19.8
Crew_10270,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.566666666666666
Crew_10271,7,0,0,0,0,0,0,0,0,0,0,0,0,2,8.133333333333333
Crew_10272,6,0,0,0,0,0,0,0,0,0,0,0,0,3,12.566666666666666
Crew_10274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.766666666666667
Crew_10275,4,0,0,0,0,0,0,0,0,0,0,0,0,4,23.049999999999997
Crew_10276,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9.616666666666667
Crew_10277,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8833333333333333
Crew_10278,5,0,0,0,0,0,0,0,0,0,0,0,0,4,15.216666666666669
Crew_10279,4,0,0,0,0,0,0,0,0,0,0,0,0,4,20.5
Crew_10280,4,0,0,0,0,0,0,0,0,0,0,0,0,4,20.849999999999998
Crew_10281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10283,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.183333333333334
Crew_10284,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10285,4,0,0,0,0,0,0,0,0,0,0,0,0,2,11.233333333333334
Crew_10287,4,0,0,0,0,0,0,0,0,0,0,0,0,4,17.5
Crew_10288,5,0,0,0,0,0,0,0,0,0,0,0,0,3,17.35
Crew_10291,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15.299999999999999
Crew_10292,7,0,0,0,0,0,0,0,0,0,0,0,0,3,14.533333333333333
Crew_10293,7,0,0,0,0,0,0,0,0,0,0,0,0,3,19.133333333333333
Crew_10294,5,0,0,0,0,0,0,0,0,0,0,0,0,2,13.616666666666667
Crew_10295,5,0,0,0,0,0,0,0,0,0,0,0,0,4,19.266666666666666
Crew_10297,6,0,0,0,0,0,0,0,0,0,0,0,0,4,22.13333333333333
Crew_10299,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34.51666666666667
Crew_10300,5,0,0,0,0,0,0,0,0,0,0,0,0,3,10.583333333333332
